branch_mispredict,cache_pressure,case_id,elapsed_s,flag_mode,residency_idle,residency_stall,returncode,sit_median,sit_p95,summary_copy_ok,summary_path,time_us,trace_copy_ok,trace_path,workload,workload_size
True,False,11,12.812,branch_mispredict,9.055175,37.189322,0,0.537588,0.537588,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0011.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0011.csv,fm_sparse,test
True,True,12,20.522,both,4.835001,66.471542,0,0.286972,0.286972,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0012.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0012.csv,fm_sparse,test
False,False,13,9.435,none,34.480260,7.724048,0,0.578389,0.578389,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0013.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0013.csv,fm_read,test
False,True,14,10.087,cache_pressure,14.523290,60.656610,0,0.248509,0.248509,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0014.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0014.csv,fm_read,test
True,False,15,9.807,branch_mispredict,20.508141,45.090563,0,0.344894,0.344894,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0015.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0015.csv,fm_read,test
True,True,16,15.968,both,3.104461,91.590314,0,0.052955,0.052955,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0016.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0016.csv,fm_read,test
False,False,17,3.348,none,36.018373,6.954182,0,0.570589,0.570589,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0017.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0017.csv,fm_write,test
False,True,18,4.159,cache_pressure,14.795159,61.313285,0,0.239148,0.239148,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0018.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0018.csv,fm_write,test
True,False,19,3.699,branch_mispredict,21.020417,45.679944,0,0.334089,0.334089,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0019.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0019.csv,fm_write,test
True,True,20,9.850,both,3.117076,91.849583,0,0.050223,0.050223,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0020.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0020.csv,fm_write,test
