mode,windows_csv,status,reason,plot1_svg,plot2_svg,breakdown_csv,sit_source
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0004__partial_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0004__partial__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0004__partial__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0004__partial__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0004__skip_w0_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0004__skip_w0__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0004__skip_w0__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0004__skip_w0__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0005__all_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__all__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__all__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__all__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0005__base_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__base__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__base__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__base__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0005__exact_boundary_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__exact_boundary__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__exact_boundary__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__exact_boundary__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0005__partial_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__partial__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__partial__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__partial__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0005__skip_w0_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__skip_w0__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__skip_w0__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0005__skip_w0__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0006__all_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__all__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__all__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__all__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0006__base_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__base__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__base__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__base__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0006__exact_boundary_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__exact_boundary__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__exact_boundary__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__exact_boundary__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0006__partial_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__partial__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__partial__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__partial__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0006__skip_w0_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__skip_w0__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__skip_w0__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0006__skip_w0__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0007__all_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__all__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__all__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__all__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0007__base_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__base__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__base__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__base__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0007__exact_boundary_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__exact_boundary__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__exact_boundary__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__exact_boundary__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0007__partial_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__partial__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__partial__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__partial__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0007__skip_w0_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__skip_w0__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__skip_w0__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0007__skip_w0__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0008__all_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0008__all__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0008__all__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0008__all__window_breakdown.csv,Source metric: sit_no_work_window_active
window_active,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/golden_window_active/trace_0008__base_windows.csv,pass,,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0008__base__plot1_sit_vs_time.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0008__base__plot2_window_breakdown_stacked.svg,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/plots/window_time/window_active/trace_0008__base__window_breakdown.csv,Source metric: sit_no_work_window_active
