diff_rows_window_vs_global,global_mode,global_summary_sit,resident_rows,stem,window_mode
31248,global_active,0.028046464948,31248,trace_0012__skip_w0,window_active
31252,global_active,0.016077625000,31252,trace_0013__all,window_active
2326,global_active,0.216004205181,2326,trace_0013__base,window_active
4,global_active,0.132812500000,4,trace_0013__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0013__partial,window_active
31248,global_active,0.016062681023,31248,trace_0013__skip_w0,window_active
31252,global_active,0.016729000000,31252,trace_0014__all,window_active
2525,global_active,0.207042079208,2525,trace_0014__base,window_active
4,global_active,0.132812500000,4,trace_0014__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0014__partial,window_active
31248,global_active,0.016714139410,31248,trace_0014__skip_w0,window_active
31252,global_active,0.016059125000,31252,trace_0015__all,window_active
2388,global_active,0.210153959904,2388,trace_0015__base,window_active
4,global_active,0.132812500000,4,trace_0015__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0015__partial,window_active
31248,global_active,0.016044178655,31248,trace_0015__skip_w0,window_active
31252,global_active,0.016726000000,31252,trace_0016__all,window_active
3331,global_active,0.156916091264,3331,trace_0016__base,window_active
4,global_active,0.132812500000,4,trace_0016__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0016__partial,window_active
31248,global_active,0.016711139026,31248,trace_0016__skip_w0,window_active
31252,global_active,0.015988625000,31252,trace_0017__all,window_active
1490,global_active,0.335331900168,1490,trace_0017__base,window_active
4,global_active,0.132812500000,4,trace_0017__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0017__partial,window_active
31248,global_active,0.015973669630,31248,trace_0017__skip_w0,window_active
31252,global_active,0.016640000000,31252,trace_0018__all,window_active
1689,global_active,0.307874481942,1689,trace_0018__base,window_active
4,global_active,0.132812500000,4,trace_0018__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0018__partial,window_active
31248,global_active,0.016625128016,31248,trace_0018__skip_w0,window_active
31252,global_active,0.015970125000,31252,trace_0019__all,window_active
1552,global_active,0.321563406089,1552,trace_0019__base,window_active
4,global_active,0.132812500000,4,trace_0019__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0019__partial,window_active
31248,global_active,0.015955167261,31248,trace_0019__skip_w0,window_active
31252,global_active,0.016637000000,31252,trace_0020__all,window_active
2495,global_active,0.208379258517,2495,trace_0020__base,window_active
4,global_active,0.132812500000,4,trace_0020__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0020__partial,window_active
31248,global_active,0.016622127632,31248,trace_0020__skip_w0,window_active
